"","genotype","light","rep","plant","length","species"
"520","phyBD","shade",2,1,4.827,"Arabidopsis"
"521","phyBD","shade",2,2,5.378,"Arabidopsis"
"522","phyBD","shade",2,3,5.334,"Arabidopsis"
"523","phyBD","shade",2,4,3.26,"Arabidopsis"
"524","phyBD","shade",2,5,4.991,"Arabidopsis"
"525","phyBD","shade",2,6,2.668,"Arabidopsis"
"526","phyBD","shade",2,7,4.303,"Arabidopsis"
"527","phyBD","shade",2,8,2.881,"Arabidopsis"
"528","phyBD","shade",2,9,1.864,"Arabidopsis"
"529","phyBD","shade",2,10,1.949,"Arabidopsis"
"530","phyBD","shade",2,11,6.394,"Arabidopsis"
"531","Ler","shade",2,1,4.321,"Arabidopsis"
"532","Ler","shade",2,2,5.037,"Arabidopsis"
"533","Ler","shade",2,3,3.43,"Arabidopsis"
"534","Ler","shade",2,4,4.192,"Arabidopsis"
"535","Ler","shade",2,5,3.182,"Arabidopsis"
"536","Ler","shade",2,6,3.827,"Arabidopsis"
"537","Ler","shade",2,7,3.01,"Arabidopsis"
"538","Ler","shade",2,8,3.26,"Arabidopsis"
"539","Ler","shade",2,9,4.15,"Arabidopsis"
"540","Ler","shade",2,10,4.187,"Arabidopsis"
"541","Ler","shade",2,11,3.218,"Arabidopsis"
"542","Ler","shade",2,12,3.473,"Arabidopsis"
"543","Ler","shade",2,13,2.92,"Arabidopsis"
"544","Ler","shade",2,14,2.499,"Arabidopsis"
"545","Ler","shade",2,15,3.429,"Arabidopsis"
"546","Ler","shade",2,16,3.259,"Arabidopsis"
"547","Ler","shade",2,17,3.26,"Arabidopsis"
"624","phyBD","shade",3,1,6.011,"Arabidopsis"
"625","phyBD","shade",3,2,4.615,"Arabidopsis"
"626","phyBD","shade",3,3,4.656,"Arabidopsis"
"627","phyBD","shade",3,4,4.785,"Arabidopsis"
"628","phyBD","shade",3,5,4.405,"Arabidopsis"
"629","phyBD","shade",3,6,4.403,"Arabidopsis"
"630","phyBD","shade",3,7,2.54,"Arabidopsis"
"631","phyBD","shade",3,8,4.573,"Arabidopsis"
"632","phyBD","shade",3,9,4.53,"Arabidopsis"
"633","phyBD","shade",3,10,4.786,"Arabidopsis"
"634","phyBD","shade",3,11,2.828,"Arabidopsis"
"663","Ler","shade",3,1,4.189,"Arabidopsis"
"664","Ler","shade",3,2,3.937,"Arabidopsis"
"665","Ler","shade",3,3,3.047,"Arabidopsis"
"666","Ler","shade",3,4,4.147,"Arabidopsis"
"667","Ler","shade",3,5,3.259,"Arabidopsis"
"668","Ler","shade",3,6,3.092,"Arabidopsis"
"669","Ler","shade",3,7,3.049,"Arabidopsis"
"670","Ler","shade",3,8,4.405,"Arabidopsis"
"671","Ler","shade",3,9,4.029,"Arabidopsis"
"672","Ler","shade",3,10,3.643,"Arabidopsis"
"673","Ler","shade",3,11,2.669,"Arabidopsis"
"674","Ler","shade",3,12,2.879,"Arabidopsis"
"675","Ler","shade",3,13,3.301,"Arabidopsis"
"676","Ler","shade",3,14,3.093,"Arabidopsis"
"677","Ler","shade",3,15,2.497,"Arabidopsis"
"678","Ler","shade",3,16,3.851,"Arabidopsis"
"679","Ler","shade",3,17,2.414,"Arabidopsis"
"722","phyB1B2","sun",1,1,22.707,"S.lyc"
"723","phyB1B2","sun",1,2,26.307,"S.lyc"
"724","phyB1B2","sun",1,3,33.649,"S.lyc"
"725","phyB1B2","sun",1,4,45.639,"S.lyc"
"726","phyB1B2","sun",1,5,32.23,"S.lyc"
"727","phyB1B2","sun",1,6,30.711,"S.lyc"
"728","phyB1B2","sun",1,7,31.527,"S.lyc"
"729","phyB1B2","sun",1,8,23.072,"S.lyc"
"730","phyB1B2","sun",1,9,26.771,"S.lyc"
"731","phyB1B2","sun",1,10,21.104,"S.lyc"
"732","phyB1B2","sun",1,11,16.681,"S.lyc"
"733","phyB1B2","sun",1,12,20.876,"S.lyc"
"734","phyB1B2","sun",1,13,31.654,"S.lyc"
"735","phyB1B2","sun",1,14,22.177,"S.lyc"
"736","phyB1B2","sun",2,1,25.616,"S.lyc"
"737","phyB1B2","sun",2,2,40.834,"S.lyc"
"738","phyB1B2","sun",2,3,18.511,"S.lyc"
"739","phyB1B2","sun",2,4,29.504,"S.lyc"
"740","phyB1B2","sun",2,5,21.974,"S.lyc"
"741","phyB1B2","sun",2,6,22.656,"S.lyc"
"742","phyB1B2","sun",2,7,16.479,"S.lyc"
"743","phyB1B2","sun",2,8,27.953,"S.lyc"
"744","phyB1B2","sun",2,9,39.45,"S.lyc"
"745","phyB1B2","sun",2,10,34.843,"S.lyc"
"746","phyB1B2","sun",2,11,38.688,"S.lyc"
"747","phyB1B2","sun",2,12,16.363,"S.lyc"
"748","phyB1B2","sun",3,1,43.165,"S.lyc"
"749","phyB1B2","sun",3,2,31.149,"S.lyc"
"750","phyB1B2","sun",3,3,25.209,"S.lyc"
"751","phyB1B2","sun",3,4,22.798,"S.lyc"
"752","phyB1B2","sun",3,5,20.661,"S.lyc"
"753","phyB1B2","sun",3,6,34.251,"S.lyc"
"754","phyB1B2","sun",3,7,32.98,"S.lyc"
"755","phyB1B2","sun",3,8,26.433,"S.lyc"
"892","moneymaker","sun",1,1,15.367,"S.lyc"
"893","moneymaker","sun",1,2,11.016,"S.lyc"
"894","moneymaker","sun",1,3,17.235,"S.lyc"
"895","moneymaker","sun",1,4,18.033,"S.lyc"
"896","moneymaker","sun",1,5,14.256,"S.lyc"
"897","moneymaker","sun",1,6,18.44,"S.lyc"
"898","moneymaker","sun",1,7,19.403,"S.lyc"
"899","moneymaker","sun",1,8,23.945,"S.lyc"
"900","moneymaker","sun",1,9,18.111,"S.lyc"
"901","moneymaker","sun",1,10,12.372,"S.lyc"
