plant,genotype,treatment,start,flat,rep,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,
E3S4.1,E3,sun,2,,1,23.19,3/13/15 0:31,20.79,3/13/15 0:31,19.69,3/13/15 0:31,13.38,3/13/15 0:31,52.38,3/13/15 0:32,41.76,3/13/15 0:32,45.02,3/13/15 0:32,21.92,3/13/15 0:32
TR7S4.8,TR7,sun,2,,1,74.38,3/13/15 0:33,61.22,3/13/15 0:34,88.55,3/13/15 0:34,40.99,3/13/15 0:34,34.31,3/13/15 0:34,41.61,3/13/15 0:35,49.49,3/13/15 0:35,22.36,3/13/15 0:35
B2S4.7,B2,sun,2,,1,18.21,3/13/15 0:37,24.62,3/13/15 0:37,25.41,3/13/15 0:37,17.13,3/13/15 0:37,42.84,3/13/15 0:38,63.2,3/13/15 0:38,53.18,3/13/15 0:38,39.28,3/13/15 0:38
TR7S4.6,TR7,sun,2,,1,37.29,3/13/15 0:39,23.57,3/13/15 0:39,25.79,3/13/15 0:39,37.08,3/13/15 0:40,43.83,3/13/15 0:40,68.04,3/13/15 0:40,63.72,3/13/15 0:40,41.68,3/13/15 0:40
B12S4.5,B12,sun,2,,1,34.12,3/13/15 0:41,28.87,3/13/15 0:41,37.91,3/13/15 0:41,22.44,3/13/15 0:42,42.41,3/13/15 0:42,70.81,3/13/15 0:42,65.53,3/13/15 0:42,54.82,3/13/15 0:42
QD7H2.1,QD7,shade,2,,1,60.48,3/13/15 13:11,28.83,3/13/15 13:11,4.06,3/13/15 13:11,0,3/13/15 13:12,23.62,3/13/15 13:12,24.46,3/13/15 13:12,1.91,3/13/15 13:12,0.03,3/13/15 13:12
1E3H2.2,1E3,shade,2,,1,55.02,3/13/15 13:13,53.5,3/13/15 13:13,55.21,3/13/15 13:14,39.49,3/13/15 13:14,62.58,3/13/15 13:14,68.51,3/13/15 13:15,76.97,3/13/15 13:15,46.59,3/13/15 13:15
E7H2.3,E7,shade,2,,1,32.71,3/13/15 13:16,57.11,3/13/15 13:17,66.07,3/13/15 13:17,37.43,3/13/15 13:17,50.46,3/13/15 13:17,90.82,3/13/15 13:18,80.65,3/13/15 13:18,60.98,3/13/15 13:18
E3H2.4,E3,shade,2,,1,27.76,3/13/15 13:19,36.83,3/13/15 13:19,62.62,3/13/15 13:20,41.26,3/13/15 13:20,55.51,3/13/15 13:20,65.14,3/13/15 13:20,86.27,3/13/15 13:21,57.28,3/13/15 13:21
B2H2.7,B2,shade,2,,1,39.26,3/13/15 13:22,67.91,3/13/15 13:22,83.87,3/13/15 13:23,54.96,3/13/15 13:23,53.74,3/13/15 13:23,80.65,3/13/15 13:23,79.77,3/13/15 13:23,46.2,3/13/15 13:24
B1H2.8,B1,shade,2,,1,52.73,3/13/15 13:25,52.16,3/13/15 13:25,60.01,3/13/15 13:25,50.19,3/13/15 13:25,45.37,3/13/15 13:25,75.13,3/13/15 13:26,73.41,3/13/15 13:26,50.54,3/13/15 13:26
1E3H2.6,1E3,shade,2,,1,31.07,3/13/15 13:27,49.4,3/13/15 13:27,84.52,3/13/15 13:28,49.42,3/13/15 13:28,47.5,3/13/15 13:28,88.32,3/13/15 13:28,85.69,3/13/15 13:29,44.04,3/13/15 13:29
B2H2.5,B2,shade,2,,1,32.23,3/13/15 13:30,57.4,3/13/15 13:30,95.91,3/13/15 13:30,52.71,3/13/15 13:30,57.65,3/13/15 13:30,87.4,3/13/15 13:31,93.68,3/13/15 13:31,77.54,3/13/15 13:31
MMH3.8,MM,shade,2,,1,28.42,3/13/15 13:33,38.67,3/13/15 13:33,42.01,3/13/15 13:34,35.83,3/13/15 13:34,67.4,3/13/15 13:34,101.65,3/13/15 13:34,58.3,3/13/15 13:35,44.95,3/13/15 13:35
2E3H3.5,2E3,shade,2,,1,27.22,3/13/15 13:36,22.62,3/13/15 13:36,51.95,3/13/15 13:36,32.99,3/13/15 13:36,50.31,3/13/15 13:36,66.7,3/13/15 13:37,81.13,3/13/15 13:37,89.31,3/13/15 13:37
QD3H3.4,QD3,shade,2,,1,61.14,3/13/15 13:38,52.12,3/13/15 13:38,16.95,3/13/15 13:39,0,3/13/15 13:39,24.84,3/13/15 13:39,27.01,3/13/15 13:39,10.3,3/13/15 13:39,1.49,3/13/15 13:40
2E3H3.3,2E3,shade,2,,1,31.42,3/13/15 13:40,33.62,3/13/15 13:40,50.84,3/13/15 13:41,59.17,3/13/15 13:41,68.22,3/13/15 13:41,89.66,3/13/15 13:41,94.17,3/13/15 13:42,80.12,3/13/15 13:42
AH3.1,A,shade,2,,1,49.98,3/13/15 13:43,62.9,3/13/15 13:43,67.61,3/13/15 13:43,40.13,3/13/15 13:43,67.23,3/13/15 13:44,92.44,3/13/15 13:44,56.91,3/13/15 13:44,48.76,3/13/15 13:45
E3H1.5,E3,shade,2,,1,38.49,3/13/15 13:46,58.92,3/13/15 13:46,43.8,3/13/15 13:46,48.5,3/13/15 13:47,63.67,3/13/15 13:47,91.35,3/13/15 13:47,94.87,3/13/15 13:48,63.97,3/13/15 13:48
2E7H1.6,2E7,shade,2,,1,64.26,3/13/15 13:49,62.82,3/13/15 13:49,65.62,3/13/15 13:49,28.95,3/13/15 13:49,66.82,3/13/15 13:50,91.61,3/13/15 13:50,71.93,3/13/15 13:50,50.85,3/13/15 13:50
QD3H1.8,QD3,shade,2,,1,84.28,3/13/15 13:51,38.81,3/13/15 13:52,24,3/13/15 13:52,4.22,3/13/15 13:52,28.54,3/13/15 13:52,23.94,3/13/15 13:52,16.99,3/13/15 13:53,10.29,3/13/15 13:53
1E7H1.1,1E7,shade,2,,1,26.7,3/13/15 13:54,68.64,3/13/15 13:55,37.07,3/13/15 13:55,87.6,3/13/15 13:55,43.69,3/13/15 13:55,58.35,3/13/15 13:56,67.74,3/13/15 13:56,63.29,3/13/15 13:56
AH1.2,A,shade,2,,1,45.53,3/13/15 13:59,58.82,3/13/15 13:59,63.16,3/13/15 13:59,43.21,3/13/15 13:59,57.08,3/13/15 13:59,93.71,3/13/15 14:00,85.43,3/13/15 14:00,68.21,3/13/15 14:00
B1H1.3,B1,shade,2,,1,63.26,3/13/15 14:01,59.9,3/13/15 14:01,50.19,3/13/15 14:02,51.32,3/13/15 14:02,53.29,3/13/15 14:02,87.06,3/13/15 14:02,75.29,3/13/15 14:02,47.35,3/13/15 14:03
E7H5.8,E7,shade,2,,1,36.07,3/13/15 14:47,45.05,3/13/15 14:47,42.95,3/13/15 14:47,25.67,3/13/15 14:48,66.44,3/13/15 14:48,77.58,3/13/15 14:48,70.9,3/13/15 14:48,68.11,3/13/15 14:49
AH5.7,A,shade,2,,1,35.32,3/13/15 14:50,46.68,3/13/15 14:50,63.96,3/13/15 14:51,40.65,3/13/15 14:51,53.39,3/13/15 14:52,85.52,3/13/15 14:52,76.79,3/13/15 14:52,43.08,3/13/15 14:53
TR7H5.6,TR7,shade,2,,1,55.37,3/13/15 14:54,63.57,3/13/15 14:54,104.8,3/13/15 14:54,51.71,3/13/15 14:55,34.47,3/13/15 14:55,44.09,3/13/15 14:55,54.24,3/13/15 14:56,36.13,3/13/15 14:56
QD3H5.4,QD3,shade,2,,1,42.02,3/13/15 14:57,61.07,3/13/15 14:57,9.84,3/13/15 14:57,0,3/13/15 14:57,26.58,3/13/15 14:58,21.35,3/13/15 14:58,6.82,3/13/15 14:58,0.02,3/13/15 14:58
2E3H5.1,2E3,shade,2,,1,25.27,3/13/15 14:59,27.18,3/13/15 14:59,63.82,3/13/15 14:59,59.55,3/13/15 15:00,66.83,3/13/15 15:00,79.98,3/13/15 15:00,83.81,3/13/15 15:01,83.64,3/13/15 15:01
B1H5.2,B1,shade,2,,1,56.08,3/13/15 15:02,51.94,3/13/15 15:02,57.12,3/13/15 15:02,43.43,3/13/15 15:02,45.82,3/13/15 15:02,63.15,3/13/15 15:03,72.13,3/13/15 15:03,41.17,3/13/15 15:03
2E7H5.3,2E7,shade,2,,1,44.58,3/13/15 15:04,67.41,3/13/15 15:04,47.52,3/13/15 15:05,26.74,3/13/15 15:05,62,3/13/15 15:05,89.96,3/13/15 15:05,73,3/13/15 15:06,33.08,3/13/15 15:06
2E7H6.3,2E7,shade,2,,1,42.11,3/13/15 15:09,58.53,3/13/15 15:09,58.8,3/13/15 15:09,36.28,3/13/15 15:09,71.08,3/13/15 15:10,92.92,3/13/15 15:10,83.89,3/13/15 15:10,38.86,3/13/15 15:10
QD7H6.8,QD7,shade,2,,1,59.69,3/13/15 15:12,70.86,3/13/15 15:12,61.53,3/13/15 15:12,14.24,3/13/15 15:12,24.06,3/13/15 15:13,27.45,3/13/15 15:13,22.15,3/13/15 15:13,8.32,3/13/15 15:13
E7H6.7,E7,shade,2,,1,38.31,3/13/15 15:15,47.85,3/13/15 15:15,51.44,3/13/15 15:15,40.93,3/13/15 15:15,56.21,3/13/15 15:16,94.95,3/13/15 15:16,87.27,3/13/15 15:16,61.12,3/13/15 15:17
1E3H6.6,1E3,shade,2,,1,23.42,3/13/15 15:18,39.73,3/13/15 15:18,40.15,3/13/15 15:18,49.11,3/13/15 15:18,46.46,3/13/15 15:18,98.17,3/13/15 15:19,82.54,3/13/15 15:19,43.53,3/13/15 15:19
1E3H6.5,1E3,shade,2,,1,42.24,3/13/15 15:21,43.94,3/13/15 15:21,30.04,3/13/15 15:21,69.02,3/13/15 15:21,48.65,3/13/15 15:21,82.4,3/13/15 15:22,87.57,3/13/15 15:22,50.9,3/13/15 15:22
E3H4.1,E3,shade,2,,1,34.76,3/13/15 15:24,39.18,3/13/15 15:24,41.65,3/13/15 15:24,42.97,3/13/15 15:24,64.54,3/13/15 15:25,89.07,3/13/15 15:25,85.69,3/13/15 15:25,46.21,3/13/15 15:26
MMH4.3,MM,shade,2,,1,34.42,3/13/15 15:26,51.47,3/13/15 15:27,48.79,3/13/15 15:27,26.37,3/13/15 15:27,61.91,3/13/15 15:27,76.49,3/13/15 15:27,56.86,3/13/15 15:28,31.53,3/13/15 15:28
B12H4.4,B12,shade,2,,1,53.17,3/13/15 15:29,19.75,3/13/15 15:29,60.74,3/13/15 15:29,37.65,3/13/15 15:29,36.87,3/13/15 15:30,34.97,3/13/15 15:30,47.31,3/13/15 15:30,27.54,3/13/15 15:31
QD7H4.2,QD7,shade,2,,1,77.73,3/13/15 15:32,60.21,3/13/15 15:32,16.27,3/13/15 15:32,0,3/13/15 15:33,29.88,3/13/15 15:33,23.11,3/13/15 15:33,5.83,3/13/15 15:33,1.47,3/13/15 15:33
TR7H4.8,TR7,shade,2,,1,66.41,3/13/15 15:34,74.69,3/13/15 15:35,111.01,3/13/15 15:35,13.86,3/13/15 15:35,29.46,3/13/15 15:35,44.37,3/13/15 15:36,34.01,3/13/15 15:36,16.99,3/13/15 15:36
B2H4.7,B2,shade,2,,1,27.03,3/13/15 15:37,43.66,3/13/15 15:37,68.41,3/13/15 15:37,28.97,3/13/15 15:37,55.68,3/13/15 15:38,102.22,3/13/15 15:38,82.85,3/13/15 15:38,71,3/13/15 15:38
TR7H4.6,TR7,shade,2,,1,53.75,3/13/15 15:39,46.75,3/13/15 15:39,74.16,3/13/15 15:40,44.87,3/13/15 15:40,37.37,3/13/15 15:40,43.19,3/13/15 15:40,44.48,3/13/15 15:40,35.9,3/13/15 15:41
B12H4.5,B12,shade,2,,1,56.8,3/13/15 15:41,48.32,3/13/15 15:42,85.94,3/13/15 15:42,32.81,3/13/15 15:42,55.65,3/13/15 15:42,58.26,3/13/15 15:42,59.71,3/13/15 15:42,53.66,3/13/15 15:43
E7S2.2,E7,sun,3,,1,27.38,3/14/15 9:38,23.76,3/14/15 9:38,34.25,3/14/15 9:38,26.24,3/14/15 9:38,53.66,3/14/15 9:38,82.82,3/14/15 9:38,65.56,3/14/15 9:39,37.03,3/14/15 9:39
2E7S2.1,2E7,sun,3,,1,26.64,3/14/15 9:40,29.11,3/14/15 9:40,22.8,3/14/15 9:40,9.51,3/14/15 9:40,79.63,3/14/15 9:41,105.58,3/14/15 9:41,58.37,3/14/15 9:41,56.39,3/14/15 9:41
QD3S2.3,QD3,sun,3,,1,51.27,3/14/15 9:42,66.75,3/14/15 9:43,33.37,3/14/15 9:43,1.63,3/14/15 9:43,25.29,3/14/15 9:43,25.41,3/14/15 9:43,12.53,3/14/15 9:44,4.74,3/14/15 9:44
B2S2.4,B2,sun,3,,1,22.82,3/14/15 9:45,44.6,3/14/15 9:45,47.33,3/14/15 9:45,33.49,3/14/15 9:45,64.83,3/14/15 9:46,88.54,3/14/15 9:46,77.17,3/14/15 9:46,67.1,3/14/15 9:46
B12S2.7,B12,sun,3,,1,32.76,3/14/15 9:47,31.23,3/14/15 9:48,42.28,3/14/15 9:48,34.22,3/14/15 9:48,52.53,3/14/15 9:48,83.93,3/14/15 9:49,72.12,3/14/15 9:49,67.1,3/14/15 9:50
TR7S2.5,TR7,sun,3,,1,30.61,3/14/15 9:51,26.63,3/14/15 9:51,25.57,3/14/15 9:52,41.1,3/14/15 9:52,36.25,3/14/15 9:52,54.01,3/14/15 9:52,62.69,3/14/15 9:52,85.74,3/14/15 9:53
MMS1.1,MM,sun,3,,1,20.56,3/14/15 9:54,22.22,3/14/15 9:54,21.84,3/14/15 9:54,9.74,3/14/15 9:55,55.29,3/14/15 9:55,76.71,3/14/15 9:55,49.73,3/14/15 9:55,25.98,3/14/15 9:56
2E3S1.2,2E3,sun,3,,1,22.54,3/14/15 9:57,24.57,3/14/15 9:57,36.13,3/14/15 9:57,25.44,3/14/15 9:57,55.66,3/14/15 9:57,90.49,3/14/15 9:58,75.79,3/14/15 9:58,37.62,3/14/15 9:58
B12S1.3,B12,sun,3,,1,34.13,3/14/15 9:59,38.97,3/14/15 9:59,46.03,3/14/15 9:59,32.39,3/14/15 9:59,49.77,3/14/15 9:59,76.66,3/14/15 10:00,89.29,3/14/15 10:00,59.85,3/14/15 10:00
QD3S1.5,QD3,sun,3,,1,40.74,3/14/15 10:02,78.15,3/14/15 10:02,5.22,3/14/15 10:03,0,3/14/15 10:03,28.68,3/14/15 10:03,23.44,3/14/15 10:03,8.39,3/14/15 10:04,0.02,3/14/15 10:04
QD7S1.8,QD7,sun,3,,1,63.2,3/14/15 10:05,55.75,3/14/15 10:05,107.17,3/14/15 10:05,57.85,3/14/15 10:05,29.92,3/14/15 10:06,44.56,3/14/15 10:06,41.65,3/14/15 10:06,31.99,3/14/15 10:07
AS1.7,A,sun,3,,1,28.25,3/14/15 10:08,35.5,3/14/15 10:08,27.41,3/14/15 10:08,20.3,3/14/15 10:08,88.53,3/14/15 10:08,98.6,3/14/15 10:09,41.88,3/14/15 10:09,36.23,3/14/15 10:09
B2S1.6,B2,sun,3,,1,27.58,3/14/15 10:10,38.24,3/14/15 10:10,34.58,3/14/15 10:10,27.88,3/14/15 10:10,63.99,3/14/15 10:12,95.92,3/14/15 10:12,67.6,3/14/15 10:12,38.74,3/14/15 10:12
E3S3.4,E3,sun,3,,1,26.1,3/14/15 10:14,22.98,3/14/15 10:14,30.63,3/14/15 10:14,21.53,3/14/15 10:14,51.79,3/14/15 10:15,65.68,3/14/15 10:15,63.5,3/14/15 10:15,33.99,3/14/15 10:15
E3S3.3,E3,sun,3,,1,37.79,3/14/15 10:16,36.51,3/14/15 10:16,46.26,3/14/15 10:16,25.99,3/14/15 10:16,61.43,3/14/15 10:17,95.67,3/14/15 10:17,73.14,3/14/15 10:17,41,3/14/15 10:17
E7S3.1,E7,sun,3,,1,27.43,3/14/15 10:18,23.83,3/14/15 10:18,29.68,3/14/15 10:18,37.95,3/14/15 10:19,57.99,3/14/15 10:19,94.77,3/14/15 10:19,80.71,3/14/15 10:19,39.93,3/14/15 10:20
QD7S3.2,QD7,sun,3,,1,70.22,3/14/15 10:21,93.08,3/14/15 10:21,118.46,3/14/15 10:22,13.79,3/14/15 10:22,33.78,3/14/15 10:22,40.29,3/14/15 10:22,28.13,3/14/15 10:22,13.92,3/14/15 10:22
B2S3.5,B2,sun,3,,1,19.01,3/14/15 10:23,20.66,3/14/15 10:23,34.36,3/14/15 10:23,23.13,3/14/15 10:24,59.76,3/14/15 10:24,80.44,3/14/15 10:24,58.46,3/14/15 10:24,55.44,3/14/15 10:25
B1S3.7,B1,sun,3,,1,40.4,3/14/15 10:25,50.75,3/14/15 10:25,35.49,3/14/15 10:26,47.19,3/14/15 10:26,64.44,3/14/15 10:26,65.58,3/14/15 10:26,68.02,3/14/15 10:27,37.1,3/14/15 10:27
MMS3.8,MM,sun,3,,1,20.88,3/14/15 10:28,25.18,3/14/15 10:28,23.27,3/14/15 10:28,11.82,3/14/15 10:28,48.78,3/14/15 10:28,56.67,3/14/15 10:29,53.27,3/14/15 10:29,33.38,3/14/15 10:29
1E7S3.6,1E7,sun,3,,1,44.75,3/14/15 10:30,33.08,3/14/15 10:30,24.48,3/14/15 10:30,30.94,3/14/15 10:30,52.67,3/14/15 10:30,72.05,3/14/15 10:31,81.51,3/14/15 10:31,40.19,3/14/15 10:31
MMS4.3,MM,sun,3,,1,18.18,3/14/15 10:53,19.83,3/14/15 10:53,17.28,3/14/15 10:53,14.94,3/14/15 10:54,52.8,3/14/15 10:54,85.82,3/14/15 10:54,67.93,3/14/15 10:54,49.19,3/14/15 10:55
2E7S4.2,2E7,sun,3,,1,23.51,3/14/15 10:55,24.54,3/14/15 10:55,29.98,3/14/15 10:55,21.51,3/14/15 10:56,77.17,3/14/15 10:56,96.36,3/14/15 10:56,77.2,3/14/15 10:56,34.95,3/14/15 10:57
B12S4.1,B12,sun,3,,1,51.88,3/14/15 10:57,51.58,3/14/15 10:58,56.29,3/14/15 10:58,43.23,3/14/15 10:58,70.98,3/14/15 10:58,89.98,3/14/15 10:58,96.73,3/14/15 10:59,62.37,3/14/15 10:59
2E3S4.5,2E3,sun,3,,1,23.96,3/14/15 11:00,19.61,3/14/15 11:00,30.14,3/14/15 11:00,22.04,3/14/15 11:00,60.44,3/14/15 11:01,92.86,3/14/15 11:01,72,3/14/15 11:01,55.29,3/14/15 11:01
E7S4.7,E7,sun,3,,1,30.45,3/14/15 11:02,16.26,3/14/15 11:02,30.07,3/14/15 11:02,19.33,3/14/15 11:03,67.07,3/14/15 11:03,77.89,3/14/15 11:03,93.06,3/14/15 11:03,84.63,3/14/15 11:04
E3S4.4,E3,sun,3,,1,27.23,3/14/15 11:04,30.43,3/14/15 11:05,28,3/14/15 11:05,23.86,3/14/15 11:05,73.97,3/14/15 11:05,70.56,3/14/15 11:05,78.19,3/14/15 11:05,37.6,3/14/15 11:06
1E7S6.4,1E7,sun,3,,1,55.1,3/14/15 11:08,40.93,3/14/15 11:08,42.42,3/14/15 11:08,38.01,3/14/15 11:08,72.46,3/14/15 11:08,77.98,3/14/15 11:09,54.56,3/14/15 11:09,57.46,3/14/15 11:09
2E7S6.3,2E7,sun,3,,1,12.89,3/14/15 11:10,12.76,3/14/15 11:10,10.58,3/14/15 11:10,9.43,3/14/15 11:11,39.14,3/14/15 11:11,47.33,3/14/15 11:11,59.97,3/14/15 11:11,60.58,3/14/15 11:12
QD3S6.2,QD3,sun,3,,1,45.2,3/14/15 11:12,53.19,3/14/15 11:12,42.44,3/14/15 11:13,29.87,3/14/15 11:13,59.31,3/14/15 11:13,79.49,3/14/15 11:14,69.58,3/14/15 11:14,33.36,3/14/15 11:14
QD7S6.7,QD7,sun,3,,1,60.84,3/14/15 11:16,80.83,3/14/15 11:16,75.82,3/14/15 11:16,22.53,3/14/15 11:16,26.77,3/14/15 11:16,34.92,3/14/15 11:17,23.71,3/14/15 11:17,8.06,3/14/15 11:17
B1S6.8,B1,sun,3,,1,37.59,3/14/15 11:18,59.78,3/14/15 11:18,41.71,3/14/15 11:18,23.86,3/14/15 11:18,55.06,3/14/15 11:19,79.67,3/14/15 11:19,58.76,3/14/15 11:19,35.66,3/14/15 11:19
B1S6.6,B1,sun,3,,1,27.79,3/14/15 11:20,35.05,3/14/15 11:20,38.4,3/14/15 11:20,26.34,3/14/15 11:21,60.49,3/14/15 11:21,89.19,3/14/15 11:21,61.5,3/14/15 11:21,33.21,3/14/15 11:22
AS6.5,A,sun,3,,1,29.04,3/14/15 11:23,28.22,3/14/15 11:23,29.78,3/14/15 11:23,23.12,3/14/15 11:23,62.9,3/14/15 11:23,86.18,3/14/15 11:24,71.74,3/14/15 11:24,43.97,3/14/15 11:24
AS5.8,A,sun,3,,1,29.36,3/14/15 11:25,34.25,3/14/15 11:25,30.7,3/14/15 11:25,22.47,3/14/15 11:26,67.78,3/14/15 11:26,93.78,3/14/15 11:26,79.9,3/14/15 11:26,35,3/14/15 11:27
TR3S5.1,TR3,sun,3,,1,36.89,3/14/15 11:28,32.93,3/14/15 11:28,38.8,3/14/15 11:28,40.13,3/14/15 11:28,53.11,3/14/15 11:28,85.92,3/14/15 11:28,96.21,3/14/15 11:29,48.38,3/14/15 11:29
TR7S5.6,TR7,sun,3,,1,45.92,3/14/15 11:30,45.35,3/14/15 11:30,37.91,3/14/15 11:30,24.18,3/14/15 11:30,63.8,3/14/15 11:30,85.16,3/14/15 11:31,83.91,3/14/15 11:31,48.54,3/14/15 11:31
MMH1.1,MM,shade,3,,1,26.54,3/14/15 13:01,33.41,3/14/15 13:01,24.86,3/14/15 13:01,15.52,3/14/15 13:01,58.17,3/14/15 13:01,95.7,3/14/15 13:02,48.25,3/14/15 13:02,19.22,3/14/15 13:02
B12H1.3,B12,shade,3,,1,54.74,3/14/15 13:03,85,3/14/15 13:03,91.4,3/14/15 13:04,35.2,3/14/15 13:04,44.87,3/14/15 13:04,60.48,3/14/15 13:05,64.44,3/14/15 13:05,48.99,3/14/15 13:06
QD7H1.8,QD7,shade,3,,1,64.35,3/14/15 13:07,51.18,3/14/15 13:07,25.33,3/14/15 13:08,1.75,3/14/15 13:08,30.39,3/14/15 13:08,28.24,3/14/15 13:08,11.99,3/14/15 13:08,1.85,3/14/15 13:08
QD3H1.5,QD3,shade,3,,1,79.13,3/14/15 13:09,24.47,3/14/15 13:09,2.91,3/14/15 13:09,0.01,3/14/15 13:09,17.27,3/14/15 13:09,17.38,3/14/15 13:10,3.64,3/14/15 13:10,2.46,3/14/15 13:10
AH1.7,A,shade,3,,1,39.7,3/14/15 13:10,63.83,3/14/15 13:11,79.99,3/14/15 13:11,48.8,3/14/15 13:11,60.15,3/14/15 13:12,106.77,3/14/15 13:12,81.37,3/14/15 13:12,43.63,3/14/15 13:13
B2H1.6,B2,shade,3,,1,38.66,3/14/15 13:13,61.44,3/14/15 13:14,78.54,3/14/15 13:14,50.21,3/14/15 13:14,59.72,3/14/15 13:14,80.36,3/14/15 13:15,70.23,3/14/15 13:15,29.54,3/14/15 13:15
2E7H4.2,2E7,shade,3,,1,30.76,3/14/15 13:16,52.42,3/14/15 13:17,59.3,3/14/15 13:17,22.75,3/14/15 13:17,79.46,3/14/15 13:17,75.48,3/14/15 13:18,97.71,3/14/15 13:18,65.77,3/14/15 13:18
2E3H4.5,2E3,shade,3,,1,52.82,3/14/15 13:19,20.04,3/14/15 13:19,49.42,3/14/15 13:19,80.54,3/14/15 13:19,75.26,3/14/15 13:19,89.85,3/14/15 13:19,113.18,3/14/15 13:20,80.98,3/14/15 13:20
E3H4.4,E3,shade,3,,1,40.26,3/14/15 13:20,55,3/14/15 13:21,56.48,3/14/15 13:21,25.89,3/14/15 13:21,59.87,3/14/15 13:21,85.65,3/14/15 13:21,75.95,3/14/15 13:21,42.01,3/14/15 13:22
E7H4.7,E7,shade,3,,1,37.33,3/14/15 13:22,52.29,3/14/15 13:22,76.92,3/14/15 13:23,43.76,3/14/15 13:23,62.08,3/14/15 13:23,104.06,3/14/15 13:23,89.39,3/14/15 13:23,57.67,3/14/15 13:24
MMH4.x,MM,shade,3,,1,37.42,3/14/15 13:24,46.55,3/14/15 13:25,48.15,3/14/15 13:25,24.29,3/14/15 13:25,50.64,3/14/15 13:25,89.4,3/14/15 13:25,87.43,3/14/15 13:25,45.36,3/14/15 13:26
QD3H2.3,QD3,shade,3,,1,70.26,3/14/15 13:27,70.31,3/14/15 13:27,39.03,3/14/15 13:27,6.76,3/14/15 13:27,38.8,3/14/15 13:27,29.74,3/14/15 13:28,17.82,3/14/15 13:28,9.85,3/14/15 13:28
1E3H2.6,1E3,shade,3,,1,37.27,3/14/15 13:29,47.74,3/14/15 13:29,54.57,3/14/15 13:29,71.85,3/14/15 13:29,58.78,3/14/15 13:30,96.32,3/14/15 13:30,107.99,3/14/15 13:30,25.46,3/14/15 13:30
2E7H2.1,2E7,shade,3,,1,49.24,3/14/15 13:31,70.91,3/14/15 13:31,83.52,3/14/15 13:32,35.95,3/14/15 13:32,67.98,3/14/15 13:32,90.96,3/14/15 13:32,76.74,3/14/15 13:32,41.74,3/14/15 13:33
B2H2.4,B2,shade,3,,1,37.94,3/14/15 13:33,50.41,3/14/15 13:33,65.67,3/14/15 13:34,55.64,3/14/15 13:34,57.54,3/14/15 13:34,85.44,3/14/15 13:34,69.87,3/14/15 13:34,34.98,3/14/15 13:35
B12H2.7,B12,shade,3,,1,60.07,3/14/15 13:35,71.75,3/14/15 13:35,85.4,3/14/15 13:36,47.44,3/14/15 13:36,40.2,3/14/15 13:38,51.86,3/14/15 13:38,56.43,3/14/15 13:39,46.66,3/14/15 13:39
E7H2.2,E7,shade,3,,1,33.62,3/14/15 13:40,49.29,3/14/15 13:40,61.98,3/14/15 13:40,42.53,3/14/15 13:40,60.27,3/14/15 13:40,99.34,3/14/15 13:41,87.28,3/14/15 13:41,44.1,3/14/15 13:41
MMH3.8,MM,shade,3,,1,31.73,3/14/15 14:03,42.17,3/14/15 14:03,32.17,3/14/15 14:04,23.35,3/14/15 14:04,50.41,3/14/15 14:04,83.69,3/14/15 14:05,70.43,3/14/15 14:05,56.13,3/14/15 14:05
B1H3.7,B1,shade,3,,1,53.83,3/14/15 14:06,72.99,3/14/15 14:06,72.34,3/14/15 14:06,45.13,3/14/15 14:06,49.6,3/14/15 14:07,84.91,3/14/15 14:07,85.7,3/14/15 14:07,49.78,3/14/15 14:07
B2H3.5,B2,shade,3,,1,33.48,3/14/15 14:08,50.91,3/14/15 14:08,77.8,3/14/15 14:08,53.12,3/14/15 14:09,63.73,3/14/15 14:09,91.54,3/14/15 14:09,81.07,3/14/15 14:09,42.79,3/14/15 14:09
QD7H3.2,QD7,shade,3,,1,76.54,3/14/15 14:10,41.34,3/14/15 14:11,2.81,3/14/15 14:11,0.02,3/14/15 14:11,33.2,3/14/15 14:11,15.73,3/14/15 14:11,2.68,3/14/15 14:11,0,3/14/15 14:11
E7H3.1,E7,shade,3,,1,40.21,3/14/15 14:12,54.75,3/14/15 14:12,56.61,3/14/15 14:12,36.94,3/14/15 14:13,51.29,3/14/15 14:13,83.41,3/14/15 14:13,87.89,3/14/15 14:13,45.48,3/14/15 14:14
E3H3.3,E3,shade,3,,1,41.32,3/14/15 14:14,55.7,3/14/15 14:15,59.11,3/14/15 14:15,43.37,3/14/15 14:15,58.87,3/14/15 14:15,96.75,3/14/15 14:15,84.6,3/14/15 14:16,35.67,3/14/15 14:16
E3H3.4,E3,shade,3,,1,41.5,3/14/15 14:16,64.34,3/14/15 14:16,60.76,3/14/15 14:17,43.85,3/14/15 14:17,67.84,3/14/15 14:17,88.64,3/14/15 14:17,62.38,3/14/15 14:17,35.68,3/14/15 14:18
QD3H6.2,QD3,shade,3,,1,63.71,3/14/15 14:19,50.81,3/14/15 14:19,15.91,3/14/15 14:19,2.07,3/14/15 14:19,34.93,3/14/15 14:20,22.73,3/14/15 14:20,13.45,3/14/15 14:20,3.12,3/14/15 14:20
