plant,genotype,treatment,start,flat,rep,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,
B1S6.3,B1,sun,1,,1,29.87,3/12/15 0:51,33.96,3/12/15 0:51,29.58,3/12/15 0:51,29.88,3/12/15 0:51,51.26,3/12/15 0:51,62.14,3/12/15 0:51,60.41,3/12/15 0:52,31.6,3/12/15 0:52
E3S6.2,E3,sun,1,,1,19.02,3/12/15 0:53,22.22,3/12/15 0:53,24.96,3/12/15 0:53,17.63,3/12/15 0:53,45.53,3/12/15 0:54,73.73,3/12/15 0:54,60.48,3/12/15 0:54,33.39,3/12/15 0:54
QD7S6.1,QD7,sun,1,,1,38.7,3/12/15 0:55,27.67,3/12/15 0:55,22.05,3/12/15 0:56,12.8,3/12/15 0:56,52.02,3/12/15 0:56,46.95,3/12/15 0:56,39.42,3/12/15 0:56,13.73,3/12/15 0:56
2E3S6.8,2E3,sun,1,,1,13.75,3/12/15 0:57,20.83,3/12/15 0:58,16.52,3/12/15 0:58,21.8,3/12/15 0:58,70.6,3/12/15 0:58,83.22,3/12/15 0:58,69.9,3/12/15 0:59,35.96,3/12/15 0:59
B12S6.7,B12,sun,1,,1,33.59,3/12/15 13:00,22.89,3/12/15 13:00,27.75,3/12/15 13:00,20.39,3/12/15 13:00,43.77,3/12/15 13:00,71.13,3/12/15 13:01,54.79,3/12/15 13:01,43.67,3/12/15 13:01
QD3S6.6,QD3,sun,1,,1,60.32,3/12/15 13:02,53.42,3/12/15 13:03,19.53,3/12/15 13:03,2.43,3/12/15 13:03,28.78,3/12/15 13:03,27.77,3/12/15 13:04,12.33,3/12/15 13:04,2.85,3/12/15 13:04
MMS6.5,MM,sun,1,,1,18.57,3/12/15 13:05,18.5,3/12/15 13:05,15.34,3/12/15 13:05,11.59,3/12/15 13:05,47.18,3/12/15 13:05,62.22,3/12/15 13:06,54.4,3/12/15 13:06,27.48,3/12/15 13:06
QD7S1.4,QD7,sun,1,,1,62.52,3/12/15 13:07,52.62,3/12/15 13:08,72.58,3/12/15 13:08,33.39,3/12/15 13:08,29.01,3/12/15 13:08,34.77,3/12/15 13:08,35.25,3/12/15 13:09,27.74,3/12/15 13:09
B1S1.3,B1,sun,1,,1,32.07,3/12/15 13:10,37.39,3/12/15 13:11,30.02,3/12/15 13:11,25.78,3/12/15 13:11,51.04,3/12/15 13:11,87.16,3/12/15 13:11,65.37,3/12/15 13:12,32.64,3/12/15 13:12
TR7S1.2,TR7,sun,1,,1,26.52,3/12/15 13:13,23.28,3/12/15 13:13,29.65,3/12/15 13:13,17.65,3/12/15 13:13,53.76,3/12/15 13:14,66.8,3/12/15 13:14,54.51,3/12/15 13:14,22.78,3/12/15 13:14
