plant,flat,position,genotype,treatment,date,week,day,petiole1,petiole2,petiole3,petiole4,internode1,internode2,internode3
11HB1,1,1,phyB1,sun,10/7/10,4,8,35.41,17.07,3.41,1.44,9.51,3.26,0.68
12H82,1,2,M82,sun,10/7/10,4,8,23.8,11.82,4.52,0.7,3.37,1.47,NA
13HMM,1,3,Moneymaker,sun,10/7/10,4,8,27.04,8,1.51,0.56,5.52,0.92,NA
14HVF,1,4,VFNT Cherry,sun,10/7/10,4,8,39.53,24.64,9.17,4.12,11.96,5.38,2.3
15HH2,1,5,HP2,sun,10/7/10,4,8,20.05,6.7,1.57,0,2.12,0.59,NA
16H12,1,6,phyB2/phyB1,sun,10/7/10,4,8,40.39,12.96,2.46,0.4,9.53,2.06,0.25
17HTL,1,7,fel-1,sun,10/7/10,4,8,29.15,22.29,11.46,2.85,10.88,5.6,1.62
18HB2,1,8,phyB2,sun,10/7/10,4,8,36.75,12.69,4.03,1.15,6.39,2.14,NA
21HMM,2,1,Moneymaker,sun,10/7/10,4,8,23.25,16.71,4.58,1.28,6.73,2.37,0.68
22H82,2,2,M82,sun,10/7/10,4,8,27.41,22.81,10.5,4.18,8.69,3.89,1.84
23H12,2,3,phyB2/phyB1,sun,10/7/10,4,8,27.43,12.78,3.22,0.85,8.22,3.15,0.85
24HB1,2,4,phyB1,sun,10/7/10,4,8,42,11.42,4.91,1.02,8.93,1.82,0.95
25HVF,2,5,VFNT Cherry,sun,10/7/10,4,8,40.99,28.2,6.7,2.09,13.51,7.84,3.04
26HB2,2,6,phyB2,sun,10/7/10,4,8,33.92,12.03,3.33,1.39,9.96,3.32,0.35
27HH2,2,7,HP2,sun,10/7/10,4,8,33.4,25.48,7.03,2.21,7.98,3.66,0.71
28HH2,2,8,HP2,sun,10/7/10,4,8,13.39,3.91,NA,NA,1.13,NA,NA
32H82,3,2,M82,sun,10/7/10,4,8,24.05,16.5,2.06,0.66,7.62,2.67,
33HMM,3,3,Moneymaker,sun,10/7/10,4,8,26.36,14.62,2.43,1.31,6.75,2.23,0.37
34HB1,3,4,phyB1,sun,10/7/10,4,8,28.42,16.83,4.04,0.87,9.66,2.9,0.71
35HB2,3,5,phyB2,sun,10/7/10,4,8,26.93,19.33,5.25,1.19,6.79,3.17,0.3
37HVF,3,7,VFNT Cherry,sun,10/7/10,4,8,35.08,26.14,8.24,5.1,12.14,5.11,1.92
38H12,3,8,phyB2/phyB1,sun,10/7/10,4,8,28.49,14.85,3.98,1.53,9.86,3.52,0.5
41HMM,4,1,Moneymaker,sun,10/7/10,4,8,40.58,11.03,3.08,0.47,5.37,1.33,NA
42H82,4,2,M82,sun,10/7/10,4,8,29.01,16.76,8.11,1.37,8.16,4.56,0.62
43HB2,4,3,phyB2,sun,10/7/10,4,8,42.67,20.5,6.52,1.62,9,3.77,0.51
44HH2,4,4,HP2,sun,10/7/10,4,8,16.31,5.01,0.68,0,1.82,NA,NA
45HTL,4,5,fel-1,sun,10/7/10,4,8,31.1,18.6,8.33,2.77,9.7,4.32,0.59
46H12,4,6,phyB2/phyB1,sun,10/7/10,4,8,36.24,15.19,2.29,1.06,11.05,3.14,0.3
47HB1,4,7,phyB1,sun,10/7/10,4,8,34.79,13.85,4.18,1.03,8.56,2.35,0.75
48HVF,4,8,VFNT Cherry,sun,10/7/10,4,8,32.48,22.41,8.54,3.76,11.14,5.2,2.55
51HB2,5,1,phyB2,sun,10/7/10,4,8,35.95,18.19,3.12,0.9,10.11,3.79,0.48
52HMM,5,2,Moneymaker,sun,10/7/10,4,8,30.01,12.97,1.92,0.79,7.18,1.64,NA
53HH2,5,3,HP2,sun,10/7/10,4,8,17.93,8.47,2.21,0.47,2.54,0.75,NA
54HB1,5,4,phyB1,sun,10/7/10,4,8,34.1,11.68,5.68,1.15,12.65,3.49,0.69
56H12,5,6,phyB2/phyB1,sun,10/7/10,4,8,32.47,19.22,4.41,1.11,12.86,4.06,0.7
57H82,5,7,M82,sun,10/7/10,4,8,24.45,11.92,1.83,0.19,6.29,1.59,NA
58HVF,5,8,VFNT Cherry,sun,10/7/10,4,8,32.57,23.49,17.02,6.32,12.16,7.87,2.72
101LB2,10,1,phyB2,shade,10/8/10,4,9,50.33,41.42,19.29,4.35,21.21,10.85,3.87
102LMM,10,2,Moneymaker,shade,10/8/10,4,9,44.45,21.25,6.58,2.52,13.53,5.9,1.64
103LH2,10,3,HP2,shade,10/8/10,4,9,31.74,15.26,5.98,1.27,5.46,3.03,0.56
104LB1,10,4,phyB1,shade,10/8/10,4,9,46.04,19.03,4.49,1.37,18.02,5.26,1.21
