genotype,light,rep,plant,length,species
phyAB1B2,sun,3,5,28.537,moneymaker
phyAB1B2,sun,3,6,29.286,moneymaker
phyAB1B2,sun,3,7,24.98,moneymaker
phyAB1B2,sun,3,8,34.954,moneymaker
phyAB1B2,sun,3,9,46.851,moneymaker
phyAB1B2,sun,3,10,26.575,moneymaker
phyB1B2,sun,1,1,22.707,moneymaker
phyB1B2,sun,1,2,26.307,moneymaker
phyB1B2,sun,1,3,33.649,moneymaker
phyB1B2,sun,1,4,45.639,moneymaker
phyB1B2,sun,1,5,32.23,moneymaker
phyB1B2,sun,1,6,30.711,moneymaker
phyB1B2,sun,1,7,31.527,moneymaker
phyB1B2,sun,1,8,23.072,moneymaker
phyB1B2,sun,1,9,26.771,moneymaker
phyB1B2,sun,1,10,21.104,moneymaker
phyB1B2,sun,1,11,16.681,moneymaker
phyB1B2,sun,1,12,20.876,moneymaker
phyB1B2,sun,1,13,31.654,moneymaker
phyB1B2,sun,1,14,22.177,moneymaker
phyB1B2,sun,2,1,25.616,moneymaker
phyB1B2,sun,2,2,40.834,moneymaker
phyB1B2,sun,2,3,18.511,moneymaker
phyB1B2,sun,2,4,29.504,moneymaker
phyB1B2,sun,2,5,21.974,moneymaker
phyB1B2,sun,2,6,22.656,moneymaker
phyB1B2,sun,2,7,16.479,moneymaker
phyB1B2,sun,2,8,27.953,moneymaker
phyB1B2,sun,2,9,39.45,moneymaker
phyB1B2,sun,2,10,34.843,moneymaker
phyB1B2,sun,2,11,38.688,moneymaker
phyB1B2,sun,2,12,16.363,moneymaker
phyB1B2,sun,3,1,43.165,moneymaker
phyB1B2,sun,3,2,31.149,moneymaker
phyB1B2,sun,3,3,25.209,moneymaker
phyB1B2,sun,3,4,22.798,moneymaker
phyB1B2,sun,3,5,20.661,moneymaker
phyB1B2,sun,3,6,34.251,moneymaker
phyB1B2,sun,3,7,32.98,moneymaker
phyB1B2,sun,3,8,26.433,moneymaker
phyA,sun,1,1,28.253,moneymaker
phyA,sun,1,2,22.655,moneymaker
phyA,sun,1,3,21.455,moneymaker
phyA,sun,1,4,17.566,moneymaker
phyA,sun,1,5,14.628,moneymaker
phyA,sun,1,6,22.855,moneymaker
phyA,sun,1,7,21.253,moneymaker
phyA,sun,1,8,24.881,moneymaker
phyA,sun,1,9,23.806,moneymaker
phyA,sun,1,10,19.381,moneymaker
phyA,sun,1,11,21.17,moneymaker
phyA,sun,1,12,15.093,moneymaker
phyA,sun,1,13,19.857,moneymaker
phyA,sun,1,14,19.315,moneymaker
phyA,sun,1,15,15.375,moneymaker
phyA,sun,2,1,39.163,moneymaker
phyA,sun,2,2,36.885,moneymaker
phyA,sun,2,3,32.774,moneymaker
phyA,sun,2,4,47.835,moneymaker
phyA,sun,2,5,23.18,moneymaker
phyA,sun,2,6,20.908,moneymaker
phyA,sun,2,7,27.595,moneymaker
phyA,sun,2,8,33.766,moneymaker
phyA,sun,2,9,21.925,moneymaker
phyA,sun,2,10,27.165,moneymaker
phyA,sun,2,11,14.058,moneymaker
phyA,sun,2,12,23.281,moneymaker
phyA,sun,2,13,35.163,moneymaker
phyA,sun,2,14,45.681,moneymaker
phyA,sun,2,15,37.997,moneymaker
phyA,sun,2,16,36.168,moneymaker
phyA,sun,3,1,25.887,moneymaker
phyA,sun,3,2,23.539,moneymaker
phyA,sun,3,3,25.838,moneymaker
phyA,sun,3,4,33.647,moneymaker
phyA,sun,3,5,23.69,moneymaker
phyA,sun,3,6,26.452,moneymaker
phyA,sun,3,7,20.732,moneymaker
phyA,sun,3,8,28.36,moneymaker
phyA,sun,3,9,16.681,moneymaker
phyA,sun,3,10,21.856,moneymaker
phyA,sun,3,11,32.183,moneymaker
phyA,sun,3,12,35.889,moneymaker
phyA,sun,3,13,28.114,moneymaker
phyA,sun,3,14,20.193,moneymaker
phyB2,sun,1,1,29.843,moneymaker
phyB2,sun,1,2,29.41,moneymaker
phyB2,sun,1,3,19.724,moneymaker
phyB2,sun,1,4,29.176,moneymaker
phyB2,sun,1,5,27.722,moneymaker
phyB2,sun,1,6,24.103,moneymaker
phyB2,sun,1,7,30.8,moneymaker
phyB2,sun,1,8,39.543,moneymaker
phyB2,sun,1,9,24.55,moneymaker
phyB2,sun,1,10,37.819,moneymaker
phyB2,sun,1,11,38.367,moneymaker
phyB2,sun,1,12,23.051,moneymaker
phyB2,sun,1,13,24.578,moneymaker
phyB2,sun,1,14,15.406,moneymaker
phyB2,sun,1,15,21.5,moneymaker
phyB2,sun,1,16,24.886,moneymaker
phyB2,sun,2,1,25.213,moneymaker
phyB2,sun,2,2,20.836,moneymaker
phyB2,sun,2,3,25.46,moneymaker
phyB2,sun,2,4,25.534,moneymaker
phyB2,sun,2,5,22.959,moneymaker
phyB2,sun,2,6,22.921,moneymaker
phyB2,sun,2,7,15.714,moneymaker
phyB2,sun,2,8,32.13,moneymaker
phyB2,sun,2,9,17.343,moneymaker
phyB2,sun,2,10,22.386,moneymaker
phyB2,sun,2,11,30.235,moneymaker
phyB2,sun,2,12,21.185,moneymaker
phyB2,sun,2,13,18.976,moneymaker
phyB2,sun,2,14,24.32,moneymaker
phyB2,sun,3,1,28.709,moneymaker
phyB2,sun,3,2,30.411,moneymaker
phyB2,sun,3,3,26.584,moneymaker
phyB2,sun,3,4,16.877,moneymaker
phyB2,sun,3,5,36.208,moneymaker
phyB2,sun,3,6,33.463,moneymaker
phyB2,sun,3,7,32.56,moneymaker
phyB2,sun,3,8,29.996,moneymaker
phyB2,sun,3,9,19.582,moneymaker
phyB2,sun,3,10,27.639,moneymaker
phyB2,sun,3,11,15.891,moneymaker
phyB2,sun,3,12,18.088,moneymaker
phyB2,sun,3,13,22.71,moneymaker
phyB1,sun,1,1,19.171,moneymaker
phyB1,sun,1,2,21.379,moneymaker
phyB1,sun,1,3,30.954,moneymaker
phyB1,sun,1,4,30.439,moneymaker
phyB1,sun,1,5,24.592,moneymaker
phyB1,sun,1,6,30.367,moneymaker
phyB1,sun,1,7,35.714,moneymaker
phyB1,sun,1,8,30.823,moneymaker
phyB1,sun,1,9,24.903,moneymaker
phyB1,sun,1,10,19.271,moneymaker
phyB1,sun,1,11,33.211,moneymaker
phyB1,sun,1,12,24.45,moneymaker
phyB1,sun,1,13,29.324,moneymaker
phyB1,sun,1,14,32.04,moneymaker
phyB1,sun,1,15,28.291,moneymaker
phyB1,sun,2,1,24.843,moneymaker
phyB1,sun,2,2,23.394,moneymaker
phyB1,sun,2,3,36.53,moneymaker
phyB1,sun,2,4,15.256,moneymaker
phyB1,sun,2,5,26.754,moneymaker
phyB1,sun,2,6,34.918,moneymaker
phyB1,sun,2,7,17.479,moneymaker
phyB1,sun,2,8,27.921,moneymaker
phyB1,sun,2,9,28.484,moneymaker
phyB1,sun,2,10,29.162,moneymaker
phyB1,sun,2,11,23.507,moneymaker
phyB1,sun,2,12,28.017,moneymaker
phyB1,sun,2,13,29.02,moneymaker
phyB1,sun,2,14,20.96,moneymaker
phyB1,sun,2,15,22.882,moneymaker
phyB1,sun,3,1,25.071,moneymaker
phyB1,sun,3,2,30.569,moneymaker
phyB1,sun,3,3,26.581,moneymaker
phyB1,sun,3,4,27.525,moneymaker
phyB1,sun,3,5,32.002,moneymaker
phyB1,sun,3,6,30.308,moneymaker
phyB1,sun,3,7,30.286,moneymaker
phyB1,sun,3,8,24.126,moneymaker
phyB1,sun,3,9,20.325,moneymaker
phyB1,sun,3,10,28.018,moneymaker
phyB1,sun,3,11,14.958,moneymaker
phyB1,sun,3,12,26.414,moneymaker
phyB1,sun,3,13,22.863,moneymaker
phyB1,sun,3,14,15.579,moneymaker
phyB1,sun,3,15,22.893,moneymaker
phyB1,sun,3,16,18.245,moneymaker
phyB1,sun,3,17,28.629,moneymaker
phyB1,sun,3,18,27.316,moneymaker
moneymaker,sun,1,1,15.367,moneymaker
moneymaker,sun,1,2,11.016,moneymaker
moneymaker,sun,1,3,17.235,moneymaker
moneymaker,sun,1,4,18.033,moneymaker
moneymaker,sun,1,5,14.256,moneymaker
moneymaker,sun,1,6,18.44,moneymaker
moneymaker,sun,1,7,19.403,moneymaker
moneymaker,sun,1,8,23.945,moneymaker
moneymaker,sun,1,9,18.111,moneymaker
moneymaker,sun,1,10,12.372,moneymaker
moneymaker,sun,1,11,11.409,moneymaker
moneymaker,sun,1,12,21.173,moneymaker
moneymaker,sun,1,13,14.36,moneymaker
moneymaker,sun,2,1,15.882,moneymaker
moneymaker,sun,2,2,13.504,moneymaker
moneymaker,sun,2,3,13.25,moneymaker
moneymaker,sun,2,4,11.427,moneymaker
moneymaker,sun,2,5,26.063,moneymaker
moneymaker,sun,2,6,12.589,moneymaker
moneymaker,sun,2,7,13.725,moneymaker
moneymaker,sun,2,8,20.113,moneymaker
moneymaker,sun,2,9,12.794,moneymaker
moneymaker,sun,3,1,16.639,moneymaker
moneymaker,sun,3,2,11.071,moneymaker
moneymaker,sun,3,3,14.466,moneymaker
moneymaker,sun,3,4,11.904,moneymaker
moneymaker,sun,3,5,10.881,moneymaker
moneymaker,sun,3,6,20.203,moneymaker
moneymaker,sun,3,7,24.65,moneymaker
moneymaker,sun,3,8,12.896,moneymaker
moneymaker,sun,3,9,12.441,moneymaker
moneymaker,sun,3,10,15.447,moneymaker
moneymaker,sun,3,11,10.879,moneymaker
moneymaker,sun,3,12,15.244,moneymaker
phyAB1B2,shade,1,1,53.928,moneymaker
phyAB1B2,shade,1,2,58.274,moneymaker
phyAB1B2,shade,1,3,36.831,moneymaker
phyAB1B2,shade,1,4,69.504,moneymaker
phyAB1B2,shade,1,5,68.192,moneymaker
phyAB1B2,shade,1,6,65.369,moneymaker
phyAB1B2,shade,1,7,71.162,moneymaker
phyAB1B2,shade,2,1,54.052,moneymaker
phyAB1B2,shade,2,2,56.182,moneymaker
phyAB1B2,shade,2,3,62.892,moneymaker
phyAB1B2,shade,2,4,50.917,moneymaker
phyAB1B2,shade,2,5,63.999,moneymaker
phyAB1B2,shade,2,6,48.186,moneymaker
phyAB1B2,shade,2,7,56.868,moneymaker
phyAB1B2,shade,2,8,34.116,moneymaker
phyAB1B2,shade,2,9,71.892,moneymaker
phyAB1B2,shade,3,1,64.721,moneymaker
phyAB1B2,shade,3,2,49.804,moneymaker
phyAB1B2,shade,3,3,49.561,moneymaker
phyAB1B2,shade,3,4,54.399,moneymaker
phyAB1B2,shade,3,5,73.138,moneymaker
phyAB1B2,shade,3,6,58.549,moneymaker
phyAB1B2,shade,3,7,30.537,moneymaker
phyA,shade,1,1,48.597,moneymaker
phyA,shade,1,2,30.597,moneymaker
phyA,shade,1,3,35.049,moneymaker
phyA,shade,1,4,30.812,moneymaker
phyA,shade,1,5,51.211,moneymaker
phyA,shade,1,6,37.017,moneymaker
phyA,shade,2,1,34.125,moneymaker
phyA,shade,2,2,49.347,moneymaker
phyA,shade,2,3,42.002,moneymaker
phyA,shade,2,4,32.632,moneymaker
phyA,shade,2,5,26.583,moneymaker
phyA,shade,3,1,32.53,moneymaker
phyA,shade,3,2,24.711,moneymaker
phyA,shade,3,3,25.838,moneymaker
phyA,shade,3,4,29.173,moneymaker
phyA,shade,3,5,45.951,moneymaker
phyA,shade,3,6,35.342,moneymaker
phyA,shade,3,7,52,moneymaker
phyA,shade,3,8,58.678,moneymaker
phyA,shade,3,9,34.673,moneymaker
phyA,shade,1,10,21.201,moneymaker
phyA,shade,1,1,26.086,moneymaker
phyA,shade,1,2,39.789,moneymaker
phyA,shade,1,3,26.873,moneymaker
phyA,shade,1,4,25.943,moneymaker
phyA,shade,1,5,41.721,moneymaker
phyA,shade,1,6,44.929,moneymaker
phyA,shade,1,7,35.175,moneymaker
phyA,shade,1,8,33.562,moneymaker
phyA,shade,2,1,22.947,moneymaker
phyA,shade,2,2,45.546,moneymaker
phyA,shade,2,3,24.196,moneymaker
phyA,shade,2,4,47.808,moneymaker
phyA,shade,2,5,22.69,moneymaker
phyA,shade,2,6,49.47,moneymaker
phyA,shade,2,7,33.736,moneymaker
phyA,shade,2,8,29.303,moneymaker
phyA,shade,2,9,47.186,moneymaker
phyA,shade,2,10,27.623,moneymaker
phyA,shade,3,1,34.191,moneymaker
phyA,shade,3,2,41.992,moneymaker
phyA,shade,3,3,33.668,moneymaker
phyA,shade,3,4,34.17,moneymaker
phyA,shade,3,5,33.754,moneymaker
phyA,shade,3,6,50.085,moneymaker
phyA,shade,3,7,41.498,moneymaker
moneymaker,shade,1,1,25.104,moneymaker
moneymaker,shade,1,2,25.316,moneymaker
moneymaker,shade,1,3,24.458,moneymaker
moneymaker,shade,1,4,16.528,moneymaker
moneymaker,shade,1,5,27.218,moneymaker
moneymaker,shade,1,6,27.209,moneymaker
moneymaker,shade,1,7,17.73,moneymaker
moneymaker,shade,1,8,43.958,moneymaker
moneymaker,shade,2,1,31.184,moneymaker
moneymaker,shade,2,2,22.872,moneymaker
moneymaker,shade,2,3,26.044,moneymaker
moneymaker,shade,2,4,29.395,moneymaker
moneymaker,shade,2,5,35.087,moneymaker
moneymaker,shade,2,6,19.488,moneymaker
moneymaker,shade,3,1,35.515,moneymaker
moneymaker,shade,3,2,36.829,moneymaker
moneymaker,shade,3,3,35.632,moneymaker
moneymaker,shade,3,4,25.305,moneymaker
moneymaker,shade,3,5,38.259,moneymaker
moneymaker,shade,3,6,31.365,moneymaker
moneymaker,shade,3,7,36.577,moneymaker
moneymaker,shade,3,8,29.643,moneymaker
moneymaker,shade,3,9,24.68,moneymaker
moneymaker,shade,1,1,33.79,moneymaker
moneymaker,shade,1,2,23.49,moneymaker
moneymaker,shade,1,3,30.146,moneymaker
moneymaker,shade,1,4,27.149,moneymaker
moneymaker,shade,1,5,31.593,moneymaker
moneymaker,shade,1,6,45.679,moneymaker
moneymaker,shade,2,1,31.426,moneymaker
moneymaker,shade,2,2,35.71,moneymaker
moneymaker,shade,2,3,18.352,moneymaker
moneymaker,shade,2,4,26.282,moneymaker
moneymaker,shade,2,5,26.69,moneymaker
moneymaker,shade,2,6,27.592,moneymaker
moneymaker,shade,3,1,26.098,moneymaker
moneymaker,shade,3,2,30.254,moneymaker
moneymaker,shade,3,3,25.26,moneymaker
moneymaker,shade,3,4,30.588,moneymaker
moneymaker,shade,3,5,20.11,moneymaker
moneymaker,shade,3,6,28.705,moneymaker
phyB1,shade,1,1,34.342,moneymaker
phyB1,shade,1,2,34.741,moneymaker
phyB1,shade,1,3,36.147,moneymaker
phyB1,shade,1,4,34.897,moneymaker
phyB1,shade,1,5,28.623,moneymaker
phyB1,shade,1,6,34.404,moneymaker
phyB1,shade,1,7,35.224,moneymaker
phyB1,shade,2,1,39.211,moneymaker
phyB1,shade,2,2,30.292,moneymaker
phyB1,shade,2,3,31.981,moneymaker
phyB1,shade,2,4,36.777,moneymaker
phyB1,shade,2,5,27.339,moneymaker
phyB1,shade,2,6,35.081,moneymaker
phyB1,shade,2,7,25.322,moneymaker
phyB1,shade,2,8,40.378,moneymaker
phyB1,shade,2,9,23.574,moneymaker
phyB1,shade,2,10,31.703,moneymaker
phyB1,shade,3,1,35.18,moneymaker
phyB1,shade,3,2,24.73,moneymaker
phyB1,shade,3,3,31.364,moneymaker
phyB1,shade,3,4,32.874,moneymaker
phyB1,shade,3,5,37.827,moneymaker
phyB1,shade,3,6,36.338,moneymaker
phyB1,shade,3,7,28.302,moneymaker
phyB1,shade,3,8,21.221,moneymaker
phyB1,shade,3,9,29.102,moneymaker
phyB1,shade,1,1,31.809,moneymaker
phyB1,shade,1,2,28.816,moneymaker
phyB1,shade,1,3,39.324,moneymaker
phyB1,shade,1,4,34.334,moneymaker
phyB1,shade,1,5,29.642,moneymaker
phyB1,shade,1,6,43.176,moneymaker
phyB1,shade,1,7,32.365,moneymaker
phyB1,shade,2,1,34.727,moneymaker
phyB1,shade,2,2,28.176,moneymaker
phyB1,shade,2,3,29.72,moneymaker
phyB1,shade,2,4,27.669,moneymaker
phyB1,shade,2,5,27.059,moneymaker
phyB1,shade,2,6,29.955,moneymaker
phyB1,shade,2,7,31.655,moneymaker
phyB1,shade,3,1,25.084,moneymaker
phyB1,shade,3,2,27.091,moneymaker
phyB1,shade,3,3,39.015,moneymaker
phyB1,shade,3,4,27.729,moneymaker
phyB1,shade,3,5,36.927,moneymaker
phyB1,shade,3,6,32.913,moneymaker
phyB1,shade,3,7,25.473,moneymaker
phyB2,shade,1,1,40.534,moneymaker
phyB2,shade,1,2,40.158,moneymaker
phyB2,shade,1,3,27.436,moneymaker
phyB2,shade,1,4,33.018,moneymaker
phyB2,shade,1,5,32.643,moneymaker
phyB2,shade,1,6,28.046,moneymaker
phyB2,shade,1,7,54.846,moneymaker
phyB2,shade,2,1,30.801,moneymaker
phyB2,shade,2,2,41.176,moneymaker
phyB2,shade,2,3,47.593,moneymaker
phyB2,shade,2,4,53.171,moneymaker
phyB2,shade,2,5,39.486,moneymaker
phyB2,shade,2,6,48.09,moneymaker
phyB2,shade,2,7,42.915,moneymaker
phyB2,shade,2,8,33.087,moneymaker
phyB2,shade,3,1,27.799,moneymaker
phyB2,shade,3,2,45.56,moneymaker
phyB2,shade,3,3,51.389,moneymaker
phyB2,shade,3,4,56.493,moneymaker
phyB2,shade,3,5,49.146,moneymaker
phyB2,shade,1,1,51.956,moneymaker
phyB2,shade,1,2,31.474,moneymaker
phyB2,shade,1,3,44.886,moneymaker
phyB2,shade,1,4,45.792,moneymaker
phyB2,shade,1,5,38.594,moneymaker
phyB2,shade,2,1,29.488,moneymaker
phyB2,shade,2,2,36.505,moneymaker
phyB2,shade,2,3,41.07,moneymaker
phyB2,shade,2,4,35.422,moneymaker
phyB2,shade,2,5,35.95,moneymaker
phyB2,shade,3,1,38.341,moneymaker
phyB2,shade,3,2,38.304,moneymaker
phyB2,shade,3,3,30.832,moneymaker
phyB2,shade,3,4,40.544,moneymaker
phyB2,shade,3,5,29.568,moneymaker
phyB2,shade,3,6,41.546,moneymaker
phyB2,shade,3,7,36.152,moneymaker
phyB1B2,shade,2,1,22.94,moneymaker
phyB1B2,shade,2,2,39.049,moneymaker
phyB1B2,shade,2,3,37.695,moneymaker
phyB1B2,shade,2,4,22.841,moneymaker
phyB1B2,shade,2,5,26.458,moneymaker
phyB1B2,shade,2,6,28.529,moneymaker
phyB1B2,shade,2,7,28.147,moneymaker
phyB1B2,shade,2,8,46.1,moneymaker
phyB1B2,shade,1,1,37.045,moneymaker
phyB1B2,shade,1,2,39.103,moneymaker
phyB1B2,shade,1,3,34.488,moneymaker
phyB1B2,shade,1,4,31.325,moneymaker
phyB1B2,shade,1,5,46.055,moneymaker
phyB1B2,shade,1,6,36.751,moneymaker
phyB1B2,shade,1,7,40.387,moneymaker
phyB1B2,shade,1,8,25.712,moneymaker
phyB1B2,shade,3,1,28.71,moneymaker
phyB1B2,shade,3,2,37.365,moneymaker
phyB1B2,shade,3,3,23.197,moneymaker
phyB1B2,shade,3,4,34.374,moneymaker
phyB1B2,shade,3,5,40.162,moneymaker
phyB1B2,shade,3,6,37.408,moneymaker
phyB1B2,shade,1,1,34.698,moneymaker
phyB1B2,shade,1,2,28.762,moneymaker
phyB1B2,shade,1,3,32.285,moneymaker
phyB1B2,shade,1,4,36.708,moneymaker
phyB1B2,shade,1,5,37.152,moneymaker
phyB1B2,shade,1,6,32.76,moneymaker
phyB1B2,shade,2,1,30.895,moneymaker
phyB1B2,shade,2,2,30.733,moneymaker
phyB1B2,shade,2,3,41.027,moneymaker
phyB1B2,shade,2,4,27.599,moneymaker
phyB1B2,shade,2,5,40.017,moneymaker
phyB1B2,shade,2,6,27.342,moneymaker
phyB1B2,shade,3,1,34.71,moneymaker
phyB1B2,shade,3,2,27.373,moneymaker
phyB1B2,shade,3,3,33.764,moneymaker
phyB1B2,shade,3,4,20.939,moneymaker
phyB1B2,shade,3,5,29.844,moneymaker
phyB1B2,shade,3,6,42.008,moneymaker
aurea,sun,1,1,42.743,moneymaker
aurea,sun,1,2,56.583,moneymaker
aurea,sun,1,3,64.464,moneymaker
aurea,sun,1,4,46.459,moneymaker
aurea,sun,1,5,50.349,moneymaker
aurea,sun,1,6,71.31,moneymaker
aurea,shade,1,1,71.121,moneymaker
aurea,shade,1,2,42.706,moneymaker
aurea,shade,1,3,81.685,moneymaker
